S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
7.692307692307692E-4,0.008461538461538463,7.692307692307692E-4,0.1853846153846154,7.692307692307692E-4,0.008461538461538463,7.692307692307692E-4,0.793076923076923,7.692307692307692E-4,7.692307692307692E-4,0.0056410256410256415,0.015897435897435898,5.128205128205128E-4,5.128205128205128E-4,5.128205128205128E-4,0.18000000000000002,0.0056410256410256415,0.0056410256410256415,5.128205128205128E-4,0.7851282051282051,
6.024096385542169E-4,6.024096385542169E-4,6.024096385542169E-4,0.036746987951807225,0.036746987951807225,6.024096385542169E-4,6.024096385542169E-4,0.922289156626506,6.024096385542169E-4,6.024096385542169E-4,0.11105990783410138,0.014285714285714285,4.608294930875576E-4,4.608294930875576E-4,4.608294930875576E-4,0.014285714285714285,0.2216589861751152,0.04193548387096774,4.608294930875576E-4,0.5949308755760369,
5.780346820809249E-4,5.780346820809249E-4,5.780346820809249E-4,0.21445086705202313,0.006358381502890174,5.780346820809249E-4,5.780346820809249E-4,0.7578034682080924,5.780346820809249E-4,0.017919075144508672,3.53356890459364E-4,3.53356890459364E-4,0.010954063604240283,3.53356890459364E-4,3.53356890459364E-4,3.53356890459364E-4,0.07809187279151944,3.53356890459364E-4,3.53356890459364E-4,0.9084805653710248,
6.41025641025641E-4,6.41025641025641E-4,6.41025641025641E-4,0.23141025641025642,6.41025641025641E-4,6.41025641025641E-4,0.0391025641025641,0.7121794871794871,0.007051282051282052,0.007051282051282052,0.013362068965517242,0.017672413793103445,0.009051724137931035,4.3103448275862074E-4,4.3103448275862074E-4,4.3103448275862074E-4,4.3103448275862074E-4,4.3103448275862074E-4,4.3103448275862074E-4,0.9573275862068965,
6.993006993006993E-4,6.993006993006993E-4,6.993006993006993E-4,0.44825174825174824,0.04265734265734265,6.993006993006993E-4,6.993006993006993E-4,0.49020979020979016,6.993006993006993E-4,0.014685314685314687,0.003985507246376812,0.03297101449275362,3.6231884057971015E-4,0.003985507246376812,3.6231884057971015E-4,0.05108695652173913,0.018478260869565215,3.6231884057971015E-4,3.6231884057971015E-4,0.8880434782608695,
0.0798780487804878,6.097560975609756E-4,6.097560975609756E-4,0.17134146341463416,6.097560975609756E-4,0.012804878048780489,0.024999999999999998,0.6957317073170731,6.097560975609756E-4,0.012804878048780489,4.694835680751174E-4,0.005164319248826292,4.694835680751174E-4,4.694835680751174E-4,4.694835680751174E-4,0.1647887323943662,4.694835680751174E-4,4.694835680751174E-4,0.005164319248826292,0.8220657276995305,
4.098360655737705E-4,4.098360655737705E-4,4.098360655737705E-4,0.07827868852459018,4.098360655737705E-4,0.004508196721311476,4.098360655737705E-4,0.9143442622950819,4.098360655737705E-4,4.098360655737705E-4,0.010659898477157361,0.05634517766497462,5.076142131979696E-4,0.010659898477157361,0.005583756345177666,5.076142131979696E-4,0.04619289340101523,5.076142131979696E-4,0.015736040609137057,0.8532994923857867,
0.011538461538461539,5.494505494505495E-4,5.494505494505495E-4,0.14340659340659342,5.494505494505495E-4,5.494505494505495E-4,0.006043956043956044,0.8302197802197802,0.006043956043956044,5.494505494505495E-4,0.024497991967871485,0.004417670682730924,4.0160642570281126E-4,4.0160642570281126E-4,4.0160642570281126E-4,0.01646586345381526,4.0160642570281126E-4,0.012449799196787148,4.0160642570281126E-4,0.9401606425702811,
0.0125,5.952380952380953E-4,5.952380952380953E-4,0.11964285714285715,5.952380952380953E-4,5.952380952380953E-4,0.0125,0.8517857142857143,5.952380952380953E-4,5.952380952380953E-4,0.06714285714285714,4.761904761904762E-4,4.761904761904762E-4,0.01,0.005238095238095239,4.761904761904762E-4,0.03857142857142857,4.761904761904762E-4,4.761904761904762E-4,0.8766666666666666,
