User,Movie,Score,T0,T1,T2,T3,T4,T5,T6,U
06494/,tt5247022,8,"-0,0350877193","-0,2456140351","0,4210526316","-0,350877193","-0,0350877193","-0,1403508772","0,3859649123",8
07735/,tt1211837,9,"-0,0498960499","-0,0498960499","0,1122661123","-0,0498960499","-0,0498960499","-0,5114345114","0,5987525988",9
07735/,tt1386697,7,"-0,0363636364","-0,0363636364","0,3878787879","-0,0363636364","-0,0363636364","-0,5696969697","0,3272727273",9
07735/,tt1679335,7,"-0,0180995475","-0,0180995475","-0,0180995475","0,0995475113","-0,0180995475","-0,479638009","0,4524886878",9
07735/,tt1935859,8,"-0,099378882","-0,099378882","-0,099378882","-0,099378882","-0,099378882","-0,099378882","0,5962732919",9
07735/,tt2404435,10,"0,1473684211","-0,0304093567","0,3251461988","-0,1356725146","-0,0304093567","-0,5567251462","0,2807017544",9
07735/,tt2461150,7,"-0,0231884058","-0,0231884058","0,3246376812","-0,0231884058","-0,0231884058","-0,5565217391","0,3246376812",9
07735/,tt2671706,9,"-0,0766283525","-0,0766283525","0,2681992337","-0,0766283525","-0,2988505747","-0,0766283525","0,337164751",9
07735/,tt2709768,7,"-0,0285204991","0,0320855615","0,3351158645","-0,0285204991","-0,0285204991","-0,6167557932","0,3351158645",9
07735/,tt2975590,9,"-0,0140350877","-0,0140350877","0,301754386","-0,0140350877","-0,0140350877","-0,5473684211","0,301754386",9
07735/,tt3040964,9,"-0,04743083","-0,04743083","0,2134387352","-0,04743083","-0,04743083","-0,4110671937","0,3873517787",9
07735/,tt3385516,8,"-0,0091533181","-0,0091533181","0,4256292906","-0,0091533181","-0,0091533181","-0,6407322654","0,2517162471",9
07735/,tt3416532,10,"-0,038277512","-0,038277512","0,3827751196","-0,038277512","-0,038277512","-0,4019138756","0,1722488038",9
07735/,tt3470600,8,"-0,0266666667","-0,0266666667","0,1333333333","-0,16","0,0533333333","-0,4266666667","0,4533333333",9
07735/,tt3553976,5,"-0,0825396825","-0,0825396825","0,3746031746","-0,0825396825","-0,0825396825","-0,3047619048","0,2603174603",9
07735/,tt3606888,7,"-0,038277512","-0,038277512","0,3827751196","-0,038277512","-0,038277512","-0,4019138756","0,1722488038",9
07735/,tt3631112,8,"-0,0902255639","-0,0902255639","0,1203007519","-0,0902255639","-0,0902255639","-0,0902255639","0,3308270677",9
07735/,tt3691740,8,"-0,0105820106","-0,0105820106","0,2857142857","-0,0105820106","-0,0105820106","-0,6772486772","0,4338624339",9
07735/,tt3741834,8,"-0,0740740741","-0,0740740741","0,2222222222","-0,0740740741","-0,0740740741","-0,0740740741","0,1481481481",9
07735/,tt4669986,8,"-0,0676328502","-0,0676328502","0,3671497585","-0,0676328502","-0,0676328502","-0,2898550725","0,193236715",9
07735/,tt4846340,9,"-0,1206349206","-0,1206349206","0,5015873016","-0,1206349206","-0,1206349206","-0,1206349206","0,1015873016",9
07735/,tt4975722,7,"-0,0606060606","-0,0606060606","0,5454545455","-0,0606060606","-0,0606060606","-0,4242424242","0,1212121212",9
087008/,tt3495026,3,"-0,0854700855","-0,0854700855","0,1196581197","-0,0854700855","0,0170940171","-0,3076923077","0,4273504274",10
087008/,tt4169250,8,"-0,187654321","-0,162962963","0,0691358025","-0,0543209877","0,024691358","-0,0543209877","0,3654320988",10
087008/,tt4434004,2,"-0,091503268","-0,091503268","0,4575163399","-0,091503268","0,0261437908","-0,3137254902","0,1045751634",10
087008/,tt4559006,3,"-0,0867208672","-0,0379403794","0,0108401084","-0,0867208672","0,2059620596","-0,3089430894","0,3035230352",10
087008/,tt4832640,6,"-0,0878552972","0,0051679587","-0,1705426357","-0,0878552972","0,330749354","-0,0878552972","0,0981912145",10
087008/,tt4900716,4,"-0,0929292929","-0,2424242424","0,0525252525","-0,0929292929","0,1616161616","-0,0929292929","0,3070707071",10
087008/,tt5074352,10,"-0,1291585127","-0,1291585127","0,0078277886","-0,1291585127","0,1996086106","-0,1291585127","0,3091976517",10
087008/,tt5165344,4,"-0,0366013072","-0,0366013072","0,2901960784","-0,0366013072","-0,0366013072","-0,4183006536","0,2745098039",10
087008/,tt5571734,4,"-0,0375469337","0,0050062578","0,3028785982","-0,0375469337","0,3028785982","-0,6257822278","0,0901126408",10
